,url,description,group
0,https://eugeneyan.com/writing/onboarding/ , What I Wish I Knew About Onboarding Effectively,0
1,https://app.pynhq.com/reader/01FN4XMGGRG512SPTZ7NWMNSNC--059ef009778e48b9068f4cc892125ceecdd , Pyn: 🗓 Orientation Schedule. Your 1st day is approaching fast!,0
2,https://app.pynhq.com/reader/01FN4XMGGRG512SPTZ7NWMNSNC--50e0ed15eea82f3ee77de4c795293f1cc9d , Pyn: 🚌🚶‍♀️🚴‍♀️ Visiting Amplitude HQ ⛴ 🚗 🚈,0
3,https://notes.andymatuschak.org/Enabling_environment?stackedNotes=z6DCZK1JtHU3waXWTk5UbNt3kXU4WRT9EwNND&stackedNotes=z8ZWYXFwXV38qiCgRx7zf2ySy9WCxWvcizNVr , Enabling environment  Most games aren’t enabling environments  Cognitive scaffolding,0
4,https://notes.andymatuschak.org/z8aZybuJJopS5fL7TnPou2JcmCsBUJeqirbBh?stackedNotes=z5vXaKVAPBNKAAi9RXNudduhyGadGXqtMVTEs&stackedNotes=z7yRMBXGc81KkUwLxefodzfnnfKXx63vXzP88 ," Triage strategies for maintaining inboxes (e.g. Inbox Zero) are often too brittle  Software interfaces often harmfully frame destructive operations as final decisions, not contingent preferences  Spaced repetition can lower the stakes around destructive inbox-maintenance operations",0
5,https://jacobian.org/2021/apr/7/embrace-the-grind/ , Embrace the Grind - Jacob Kaplan-Moss,1
6,https://sharedphysics.com/everything-is-important/#step-6-create-a-clear-finish-line-definition-of-done , When Everything is Important But Nothing is Getting Done,1
7,http://www.paulgraham.com/procrastination.html , Good and Bad Procrastination,1
8,http://www.paulgraham.com/hamming.html , Richard Hamming: You and Your Research,1
9,https://sharedphysics.com/how-learning-works-components-systems-and-loops/ ," How Learning Works: Components, Systems, and Loops",1
10,https://notes.andymatuschak.org/Enabling_environment?stackedNotes=z6DCZK1JtHU3waXWTk5UbNt3kXU4WRT9EwNND , Enabling environment  Most games aren’t enabling environments,1
11,https://notes.andymatuschak.org/z415U4CPdKAcFCNtkAFmKPw3DVAhrAPqPqwPB , Transcendental narrative,1
12,https://www.firstthings.com/article/1997/01/science-and-the-story-that-we-need , Science and the Story that We Need by Neil Postman  Articles  First Things,1
13,https://crumplab.com/articles/blog/post_994_5_26_22_cheating/index.html#part-ii-5-the-alternative-syllabus , My students cheated... A lot • crumplab,1
14,https://crumplab.com/articles/blog/post_996_5_20_22_assignmentflex/index.html , Teaching with multiple warp zones: Increasing engagement with assignment choice • crumplab,1
15,https://www.wikiwand.com/en/Lisp_%28programming_language%29 , Lisp (programming language) - Wikiwand,1
16,http://www.paulgraham.com/lisp.html , Lisp,1
17,http://www.paulgraham.com/diff.html , What Made Lisp Different,1
18,https://insearchofsecrets.com/2014/08/04/lisp-smalltalk-and-the-power-of-symmetry/ ," Lisp, Smalltalk, and the Power of Symmetry  In Search of Secrets",1
19,https://www.samharris.org/podcasts/making-sense-episodes/drugs-and-the-meaning-of-life , #1 — Drugs and the Meaning of Life,1
20,https://www.wikiwand.com/en/Arrhenotoky , Arrhenotoky - Wikiwand,2
21,https://www.wikiwand.com/en/Parthenogenesis , Parthenogenesis - Wikiwand,2
22,https://offerup.com/inbox/message/6923842259750678528?alertId= , Buy & Sell Locally - OfferUp - Buy. Sell. Simple.,2
23,https://offerup.com/item/detail/c1495d15-a971-3081-a191-04678c3c9060?_branch_match_id=875551070112282411&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXz09LSy0qLdBLztfPLM3J9DZNSQ4vSAIAzizgxB4AAAA%3D ," IKEA Karlstad Sofa/Couch for Sale in Oakland, CA - OfferUp",2
24,https://www.wayfair.com/furniture/pdp/wade-logan-orpington-732-linen-square-arm-sofa-w006110912.html?piid=1347761109 , Wade Logan® Orpington 73.2'' Linen Square Arm Sofa & Reviews  Wayfair,2
25,https://www.google.com/search?q=capsule+wardrobe&oq=capsle+w&aqs=chrome.1.69i57j0i10i433l2j0i10l7.4258j0j7&sourceid=chrome&ie=UTF-8 , capsule wardrobe - Google Search,2
26,"https://www.guitaraficionado.com/can-i-take-my-guitar-on-the-plane/#:~:text=On%20The%20Airplane%3F-,Conclusion,seat%20in%20front%20of%20you. ", Can I Take My Guitar On A Plane? Here's What You Need To Know - Guitar Aficionado,2
27,https://www.fender.com/articles/how-to/asked-answered-whats-the-best-way-to-fly-with-my-guitar , Asked/Answered: What's the Best Way to Fly With My Guitar?,2
28,https://app.pynhq.com/reader/01FN4XMGGRG512SPTZ7NWMNSNC--0273f6c9362371c1d4c9ea616b1cea413e7 , Pyn: 👋 Welcome to Amplitude!,2
29,https://amplitude.com/6clicks , 6 Clicks  The Amplitude Video Guides,2
30,https://amplitude.com/diversity-equity-inclusion ," Diversity, Equity and Inclusion - Amplitude",2
31,https://get.printfection.com/zxwkn/3006384062/jkxksctczj/?page=order_complete , Confirmation JKXKSCTCZJ - Your free gift is on the way  New Ampliteer Swag Kit,2
32,https://mail.google.com/mail/u/1/#inbox/FMfcgzGpFzrjFjdLDVlQFPFxdcRbhChQ ," Fwd: Justin, prepare for your upcoming trip - justinaverychan@gmail.com - Gmail",2
